Name,Project,area,perimeter
Uganda,,19.676808253,21.2482136673465
Uzbekistan,,48.3701188074,60.3220636018917
Ireland,,9.35948242869982,34.8281104712015
Eritrea,,10.0594471217,25.5033301682253
South Georgia & the South Sandwich Islands,,0.51545587675001,7.33788360370204
Mongolia,,184.4320483022,85.1015274126974
Spain,Yes,53.6107801492001,61.2163219660061
Cyprus,,0.902664499850011,6.03729437448939
Macao,,0.000594436450874189,0.153955026567843
Jammu-Kashmir,,18.2663936688,24.9194987229828
Heard Island and McDonald Islands,,0.053680881199992,1.23273740523219
French Guiana,,6.80757748959993,12.2530852581906
Democratic Republic of the Congo,,189.79091327695,83.4316352479654
Guinea-Bissau,,2.76099042075001,17.2604256116653
Papua New Guinea,,37.7804101584501,89.291381990733
Mayotte,,0.0371548162500055,1.0744965569623
Cameroon,,37.9727111960999,41.9606302635474
Hong Kong,,0.0898998980029168,2.39389131926761
Yemen,,38.2870820158,34.0914973578001
Western Sahara,,24.0025360428499,28.7260103306665
Tokelau,,0.00060636774999967,0.108694866562106
United States of America,,1116.66359287184,725.626189754209
Grenada,,0.0287534442999943,0.681409100791835
Cayman Islands,,0.0179310475000016,0.733614566657868
Dominican Republic,,4.14756884760006,13.2538657085101
Ma'tan al-Sarra,,0.160196531650026,2.01959004503988
Switzerland,,4.88968024354998,15.4414966318108
Jersey,,0.0153951602000057,0.576979962310964
Austria,,10.03943729195,22.0679916847302
Portugal,,9.3024779553,19.4536382363758
Luxembourg,,0.322093944099999,2.64610693849587
Kazakhstan,,343.1599472978,140.347605503374
Aruba,,0.0165979546000017,0.610348989069159
Holy See,,5.39858500003543e-05,0.0297435344486829
Equatorial Guinea,,2.18820768410003,8.19100024153602
Jamaica,,0.942435030549997,5.38579618300879
Estonia,,7.10782394369997,23.6520642923009
Niger,,100.6378070728,50.803634457762
Belize,,1.87697559999998,8.55162081825245
Morocco,,38.4606250156001,36.3940540899646
Glorioso Islands,,0.00040734994999897,0.0792321126557479
Paracel Islands,,0.000144828599999758,0.0985198459056701
Guernsey,,0.00902638525000066,0.416954065785767
Palau,,0.0311353200500124,1.1053069987665
Canada,,1694.02508746784,2210.68326010675
Ethiopia,,92.8414285579,47.1565005192739
Greenland,,660.927117814452,942.218112814881
Comoros,,0.142408409250005,3.06076107571684
Abyei,,0.819273202451381,3.59782443736362
Guatemala,,9.19301359940003,16.7601966692333
Kyrgyzstan,,21.5118351483001,36.7540344066851
Suriname,,11.81041991925,17.1266258943542
Poland,Yes,40.9107263330999,35.3278031236472
Kuwait,,1.55508020695,7.54877233281681
Brunei Darussalam,,0.468299145950006,4.91884899751042
Cape Verde,,0.340357395850013,6.51260406996185
Italy,Yes,33.05511269975,68.0814916030175
Iran (Islamic Republic of),,161.769911890651,75.7732787128314
United Arab Emirates,,6.28573208740001,16.5524716218059
British Virgin Islands,,0.0098678816000024,0.639391024162009
San Marino,,0.00667126989999928,0.354956691072498
Zambia,,62.81402311805,49.1413699027768
Latvia,,9.51608745529997,19.3428181863719
Marshall Islands,,0.00284407785000446,0.683478130000049
Syrian Arab Republic,,18.57061099255,22.535543000736
Sri Lanka,,5.41208880425007,13.9984629543637
Andorra,,0.0555840655499985,0.937342421806628
Australia,,695.539902031651,252.164978887323
Bouvet Island,,0.00795393475000283,0.358494376443377
The former Yugoslav Republic of Macedonia,,2.74999791745,7.21553510304231
Peru,,106.500857749799,68.2854534781142
Benin,,9.5741015758,17.0636289424902
Paraguay,,35.2087322465498,30.8919115977675
Hungary,,11.0332925438,18.1620638846248
Djibouti,,1.77775853075001,7.27761513159421
Vanuatu,,1.03714059374999,16.411497913455
Cambodia,,15.1285319374,21.9940114351827
Georgia,,7.62323688580011,17.8569568180516
Christmas Island,,0.0102377006499956,0.405143139049309
United States Virgin Islands,,0.025683710099996,1.23659216818884
Faroe Islands,,0.254310255099999,5.74375140526039
Lesotho,,2.84150677019999,7.09799757061571
Tajikistan,,14.71586760235,33.8774598477767
Burundi,,2.21238699674998,7.71474235864438
Philippines,,24.3001935634,130.231133537895
Madagascar,,51.0710197601498,45.4566274917996
Azerbaijan,,17.4073620967999,28.0278041957744
Mauritania,,89.9051047090001,52.3084203301128
Nigeria,,74.8876438549499,48.1080476546016
Norfolk Island,,0.00453778419999828,0.259747563263644
Aksai Chin,,3.00551197514998,9.77747053456299
Monaco,,0.00103604750000064,0.137401926803586
Gambia,,0.895055036750009,10.7761060530625
Timor-Leste,,1.23630294474996,7.71957945100936
Honduras,,9.4223219448,20.9717415688468
Botswana,,50.67750422775,33.930002842915
Burkina Faso,,22.63415331145,27.0074330263864
Ukraine,,73.4829608555497,79.5453401068598
Oman,,26.71228511975,32.1975394675533
Republic of Korea,,9.76687787185004,28.3332429603939
Montserrat,,0.00953840280000023,0.378841583495344
Liberia,,7.84884525319997,15.1712619965531
Rwanda,,2.0433848945,7.15986316410541
Nicaragua,,10.6688018827502,18.0306876357815
Mozambique,,66.9550613448501,65.773293255134
Egypt,,89.2243641227833,50.9642573993021
Germany,,45.871667031,56.0250261766415
Côte d'Ivoire,,26.3404977304,31.5768152932552
India,,262.012966000449,161.119302464127
Venezuela,,74.6283972523,76.9474709468239
Bhutan,,3.63555471479999,9.20549283759136
Sierra Leone,,5.95383873094994,13.809756901803
Tonga,,0.0400173567999997,1.30911130822078
Dominica,,0.064835498149997,1.09711124520094
Guantanamo,,0.00718842305000034,0.480239636301077
Costa Rica,,4.2118591266,14.7174126065814
Indonesia,,153.002528910049,416.254783619075
Liechtenstein,,0.0209210135500001,0.633839404318619
